GlobalId,Name,階,配管種別,系統コード,系統名称,IFC系統分類,系統所属数,外径,内径,長さ,方向区分,軸DX,軸DY,軸DZ,水平面角度_deg,勾配,Z最低,Z最高,高低差
3i6NT3lWD4BeNkr3J2NSBV,配管タイプ:00_冷媒:42163137,4FL,配管タイプ:00_冷媒,R 16,M091_R冷媒2way,HEATING,1,100.0,20.0,3201.967499058609,水平管,0.0,1.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBT,配管タイプ:00_冷媒:42163139,4FL,配管タイプ:00_冷媒,R 16,M091_R冷媒2way,HEATING,1,100.0,20.0,3004.800000000023,水平管,1.0,0.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBO,配管タイプ:00_冷媒:42163142,4FL,配管タイプ:00_冷媒,R 17,M091_R冷媒2way,HEATING,1,100.0,20.0,937.9946212206412,水平管,0.0,1.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBP,配管タイプ:00_冷媒:42163143,4FL,配管タイプ:00_冷媒,R 17,M091_R冷媒2way,HEATING,1,100.0,20.0,518.8244525422994,水平管,1.0,0.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBN,配管タイプ:00_冷媒:42163145,4FL,配管タイプ:00_冷媒,R 16,M091_R冷媒2way,HEATING,1,100.0,20.0,523.6244525423069,水平管,1.0,0.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBJ,配管タイプ:00_冷媒:42163149,4FL,配管タイプ:00_冷媒,R 16,M091_R冷媒2way,HEATING,1,100.0,20.0,4034.80000000004,水平管,1.0,0.0,0.0,0.0,0.0,12.950000000000001,13.049999999999999,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSBH,配管タイプ:00_排水:42163151,4FL,配管タイプ:00_排水,D 40,M121_Dドレン,SEWAGE,1,48.6,41.6,2820.999999999993,水平管,1.0,0.0,0.0,0.0,0.0,12.875699999999997,12.924299999999999,0.0486000000000022
3i6NT3lWD4BeNkr3J2NSBE,配管タイプ:00_排水:42163152,4FL,配管タイプ:00_排水,D 46,M121_Dドレン,SEWAGE,1,48.6,41.6,1925.19999999995,水平管,1.0,0.0,0.0,0.0,0.0,12.8757,12.9243,0.04860000000000042
3i6NT3lWD4BeNkr3J2NSBF,配管タイプ:00_排水:42163153,4FL,配管タイプ:00_排水,D 34,M121_Dドレン,SEWAGE,1,34.0,27.6,218.82445254227665,水平管,1.0,0.0,0.0,0.0,0.0,12.883,12.917000000000002,0.03400000000000247
3i6NT3lWD4BeNkr3J2NSBC,配管タイプ:00_排水:42163154,4FL,配管タイプ:00_排水,D 43,M121_Dドレン,SEWAGE,1,34.0,27.6,740.9946212206037,水平管,0.0,1.0,0.0,0.0,0.0,12.883,12.917000000000002,0.03400000000000247
3i6NT3lWD4BeNkr3J2NSBB,配管タイプ:00_排水:42163157,4FL,配管タイプ:00_排水,D 44,M121_Dドレン,SEWAGE,1,60.5,52.900000000000006,106.96725763617174,水平管,1.0,0.0,0.0,0.0,0.0,12.869750000000002,12.93025,0.060499999999997556
3i6NT3lWD4BeNkr3J2NSB8,配管タイプ:00_排水:42163158,4FL,配管タイプ:00_排水,D 39,M121_Dドレン,SEWAGE,1,34.0,27.6,223.62445254231454,水平管,1.0,0.0,0.0,0.0,0.0,12.883,12.917000000000002,0.03400000000000247
3i6NT3lWD4BeNkr3J2NSB9,配管タイプ:00_排水:42163159,4FL,配管タイプ:00_排水,D 45,M121_Dドレン,SEWAGE,1,34.0,27.6,740.9946212205734,水平管,0.0,1.0,0.0,0.0,0.0,12.883,12.917000000000002,0.03400000000000247
3i6NT3lWD4BeNkr3J2NSB4,配管タイプ:00_排水:42163162,4FL,配管タイプ:00_排水,D 41,M121_Dドレン,SEWAGE,1,48.6,41.6,3004.8000000000184,水平管,1.0,0.0,0.0,0.0,0.0,12.875699999999997,12.924299999999999,0.0486000000000022
3i6NT3lWD4BeNkr3J2NSB5,配管タイプ:00_排水:42163163,4FL,配管タイプ:00_排水,D 46,M121_Dドレン,SEWAGE,1,60.5,52.900000000000006,259.0053787793769,水平管,0.0,1.0,0.0,0.0,0.0,12.869750000000002,12.93025,0.060499999999997556
3i6NT3lWD4BeNkr3J2NSLg,配管タイプ:00_冷媒:42163316,5FL,配管タイプ:00_冷媒,R 18,M091_R冷媒2way,HEATING,1,100.0,20.0,1166.8848282755375,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSLh,配管タイプ:00_冷媒:42163317,5FL,配管タイプ:00_冷媒,R 19,M091_R冷媒2way,HEATING,1,100.0,20.0,1064.8848282755607,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSLe,配管タイプ:00_冷媒:42163318,5FL,配管タイプ:00_冷媒,R 20,M091_R冷媒2way,HEATING,1,100.0,20.0,1167.751210879249,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSLd,配管タイプ:00_冷媒:42163321,5FL,配管タイプ:00_冷媒,R 21,M091_R冷媒2way,HEATING,1,100.0,20.0,1064.8848282755607,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSLa,配管タイプ:00_冷媒:42163322,5FL,配管タイプ:00_冷媒,R 18,M091_R冷媒2way,HEATING,1,100.0,20.0,15031.032836678409,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSLb,配管タイプ:00_冷媒:42163323,5FL,配管タイプ:00_冷媒,R 19,M091_R冷媒2way,HEATING,1,100.0,20.0,648.5114138927805,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSLY,配管タイプ:00_冷媒:42163324,5FL,配管タイプ:00_冷媒,R 19,M091_R冷媒2way,HEATING,1,100.0,20.0,417.6421489296158,水平管,0.0,1.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSLZ,配管タイプ:00_冷媒:42163325,5FL,配管タイプ:00_冷媒,R 19,M091_R冷媒2way,HEATING,1,100.0,20.0,733.4885861072615,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSLX,配管タイプ:00_冷媒:42163327,5FL,配管タイプ:00_冷媒,R 21,M091_R冷媒2way,HEATING,1,100.0,20.0,2426.9674990584213,水平管,0.0,1.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSMU,配管タイプ:00_冷媒:42163328,5FL,配管タイプ:00_冷媒,R 18,M091_R冷媒2way,HEATING,1,100.0,20.0,3416.9674990583035,水平管,0.0,1.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSMV,配管タイプ:00_冷媒:42163329,5FL,配管タイプ:00_冷媒,R 18,M091_R冷媒2way,HEATING,1,100.0,20.0,2100.000000000053,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMS,配管タイプ:00_冷媒:42163330,5FL,配管タイプ:00_冷媒,R 21,M091_R冷媒2way,HEATING,1,100.0,20.0,580.0000000000284,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMT,配管タイプ:00_冷媒:42163331,5FL,配管タイプ:00_冷媒,R 21,M091_R冷媒2way,HEATING,1,100.0,20.0,1200.0000000000466,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMR,配管タイプ:00_冷媒:42163333,5FL,配管タイプ:00_冷媒,R 19,M091_R冷媒2way,HEATING,1,100.0,20.0,15851.032836678478,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMO,配管タイプ:00_冷媒:42163334,5FL,配管タイプ:00_冷媒,R 21,M091_R冷媒2way,HEATING,1,100.0,20.0,15453.032836678418,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMP,配管タイプ:00_冷媒:42163335,5FL,配管タイプ:00_冷媒,R 20,M091_R冷媒2way,HEATING,1,100.0,20.0,15551.032836678409,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMM,配管タイプ:00_冷媒:42163336,5FL,配管タイプ:00_冷媒,R 20,M091_R冷媒2way,HEATING,1,100.0,20.0,1442.264808224961,水平管,0.0,1.0,0.0,0.0,0.0,17.049999999999997,17.149999999999995,0.09999999999999787
3i6NT3lWD4BeNkr3J2NSMN,配管タイプ:00_冷媒:42163337,5FL,配管タイプ:00_冷媒,R 20,M091_R冷媒2way,HEATING,1,100.0,20.0,1580.00000000005,水平管,1.0,0.0,0.0,0.0,0.0,17.049999999999997,17.15,0.10000000000000142
3i6NT3lWD4BeNkr3J2NSMI,配管タイプ:00_供給:42163340,5FL,配管タイプ:00_供給,CR 1,M012_CR冷水(還),HEATING,1,114.30000000000001,105.3,1163.7287475948706,水平管,1.0,0.0,0.0,0.0,0.0,17.14285,17.25715,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSMJ,配管タイプ:00_供給:42163341,5FL,配管タイプ:00_供給,C 5,M011_C冷水(往),HEATING,1,114.30000000000001,105.3,1163.9799688700482,水平管,1.0,0.0,0.0,0.0,0.0,17.242849999999997,17.357149999999997,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSME,配管タイプ:00_供給:42163344,5FL,配管タイプ:00_供給,C 6,M011_C冷水(往),HEATING,1,60.5,52.900000000000006,1433.5912794060573,水平管,0.0,1.0,0.0,0.0,0.0,17.269749999999995,17.330249999999996,0.06050000000000111
3i6NT3lWD4BeNkr3J2NSMF,配管タイプ:00_供給:42163345,5FL,配管タイプ:00_供給,C 7,M011_C冷水(往),HEATING,1,60.5,52.900000000000006,1433.5912794060573,水平管,0.0,1.0,0.0,0.0,0.0,17.269749999999995,17.330249999999996,0.06050000000000111
3i6NT3lWD4BeNkr3J2NSMC,配管タイプ:00_供給:42163346,5FL,配管タイプ:00_供給,CR 5,M012_CR冷水(還),HEATING,1,60.5,52.900000000000006,1083.5912794060848,水平管,0.0,1.0,0.0,0.0,0.0,17.16975,17.230249999999998,0.060499999999997556
3i6NT3lWD4BeNkr3J2NSMD,配管タイプ:00_供給:42163347,5FL,配管タイプ:00_供給,CR 6,M012_CR冷水(還),HEATING,1,60.5,52.900000000000006,1083.5912794061217,水平管,0.0,1.0,0.0,0.0,0.0,17.16975,17.230249999999998,0.060499999999997556
3i6NT3lWD4BeNkr3J2NSMA,配管タイプ:00_供給:42163348,5FL,配管タイプ:00_供給,CR 6,M012_CR冷水(還),HEATING,1,114.30000000000001,105.3,569.3370377600294,水平管,1.0,0.0,0.0,0.0,0.0,17.14285,17.25715,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSMB,配管タイプ:00_供給:42163349,5FL,配管タイプ:00_供給,C 8,M011_C冷水(往),HEATING,1,114.30000000000001,105.3,999.3379035499026,水平管,1.0,0.0,0.0,0.0,0.0,17.242849999999997,17.357149999999997,0.11430000000000007
