GlobalId,Name,ObjectType,PredefinedType,TypeName,継手種類,階,系統コード,系統名称,IFC系統分類,系統所属数,Material,PortCount,接続径1_mm,接続径2_mm,接続径3_mm,径情報完全性,径取得元,数量_個,Warning
1YmQEFw6r2CwltcTVryyNK,011_エルボ:Common:40813200,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryyNM,011_エルボ:Common:40813202,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryyIR,011_エルボ:Common:40813535,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryy93,011_エルボ:Common:40813831,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryy9a,011_エルボ:Common:40813856,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryy89,011_エルボ:Common:40813901,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryyBE,011_エルボ:Common:40813962,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
0sIT3JH9X5JfwkUDQ1bP2J,012_エルボ_冷媒管:Common:40828277,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0sIT3JH9X5JfwkUDQ1bP1_,012_エルボ_冷媒管:Common:40828312,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 1,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0sIT3JH9X5JfwkUDQ1b6dz,011_エルボ:Common:40829979,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,1FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOJO,011_エルボ:Common:40899360,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOJH,011_エルボ:Common:40899362,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOJJ,011_エルボ:Common:40899364,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOKm,011_エルボ:Common:40899366,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOKH,011_エルボ:Common:40899368,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOKJ,011_エルボ:Common:40899370,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOLl,011_エルボ:Common:40899372,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtOLf,011_エルボ:Common:40899374,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
