GlobalId,Name,ObjectType,PredefinedType,TypeName,継手種類,階,系統コード,系統名称,IFC系統分類,系統所属数,Material,PortCount,接続径1_mm,接続径2_mm,接続径3_mm,径情報完全性,径取得元,数量_個,Warning
3inpcJnLr5Wh9YciPQ$$6n,021_径違いＴ型:Common:41585975,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,3FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,3,42.7,27.2,42.7,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
3inpcJnLr5Wh9YciPQ$$6v,021_径違いＴ型:Common:41585983,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,3,27.2,42.7,42.7,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
09qnPcuf90ug4Az8aUTknJ,021_径違いＴ型:Common:41587368,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,5FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0cvR1_ETfB2e064iFLIaeI,051_ソケット:Common:41591355,051_ソケット:Common,NOTDEFINED,051_ソケット:Common,ソケット,PIT,) 1,P021_D汚水,SEWAGE,1,配管－汚水,2,114.3,114.3,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
0cvR1_ETfB2e064iFLIagn,011_エルボ:Common:41591448,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,P031_V通気 2,P031_V通気,VENT,1,配管－冷温水（往）（還）（膨張）,2,114.3,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0cvR1_ETfB2e064iFLIai2,051_ソケット:Common:41591595,051_ソケット:Common,NOTDEFINED,051_ソケット:Common,ソケット,PIT,P031_V通気 2 | P022_D雑排水 1,P031_V通気 | P022_D雑排水,VENT | SEWAGE,2,配管－雑排水,2,76.3,76.3,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 複数系統
0cvR1_ETfB2e064iFLIamt,011_エルボ:Common:41591838,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,P031_V通気 2,P031_V通気,VENT,1,配管－雑排水,2,76.3,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0cvR1_ETfB2e064iFLIany,011_エルボ:Common:41591893,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,P031_V通気 2,P031_V通気,VENT,1,配管－冷温水（往）（還）（膨張）,2,,,,NONE,,1,PredefinedType未定義 | 径情報なし
0cvR1_ETfB2e064iFLIan_,041_レジューサ:Common:41591895,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,PIT,P031_V通気 2,P031_V通気,VENT,1,配管－通気・排水槽通気,2,76.3,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0cvR1_ETfB2e064iFLIapk,011_エルボ:Common:41592007,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,P031_V通気 2,P031_V通気,VENT,1,配管－冷温水（往）（還）（膨張）,2,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
3g_hUfrM11BR0pCRQT93Km,071_キャップ:Common:41970860,071_キャップ:Common,NOTDEFINED,071_キャップ:Common,キャップ,1FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,1,60.5,,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
3g_hUfrM11BR0pCRQT92b9,011_エルボ:Common:41971925,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,X 1,P051_X屋内消火栓,FIREPROTECTION,1,配管－屋内・屋外消火栓,2,,,,NONE,,1,PredefinedType未定義 | 径情報なし
3g_hUfrM11BR0pCRQT92bB,041_レジューサ:Common:41971927,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,PIT,X 1,P051_X屋内消火栓,FIREPROTECTION,1,配管－屋内・屋外消火栓,2,,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
3g_hUfrM11BR0pCRQT92Xs,011_エルボ:Common:41972202,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,1FL,X 1,P051_X屋内消火栓,FIREPROTECTION,1,配管－雑排水,2,,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
3g_hUfrM11BR0pCRQT92lr,021_径違いＴ型:Common:41972329,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,X 1,P051_X屋内消火栓,FIREPROTECTION,1,配管－通気・排水槽通気,3,76.3,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0pe1NtE2jC$QiRfpnhK8ru,021_径違い90° 大曲がり Y:Common:41988437,021_径違い90° 大曲がり Y:Common,NOTDEFINED,021_径違い90° 大曲がり Y:Common,径違い90°大曲がりY,4FL,D 24,M121_Dドレン,SEWAGE,1,配管－ドレン,3,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0pe1NtE2jC$QiRfpnhK8aC,021_径違い90° 大曲がり Y:Common:41988483,021_径違い90° 大曲がり Y:Common,NOTDEFINED,021_径違い90° 大曲がり Y:Common,径違い90°大曲がりY,2FL,D 24,M121_Dドレン,SEWAGE,1,配管－ドレン,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
